TYPE            BUILT  DECLINED  MODULES  COVERAGE
dragAndDrop       110       922      338   10.7%
multiChoiceQuiz    12       401      183   2.9%
clickDrop         235       346      126   40.4%
carousel          679       319      197   68.0%
accordion         510       293      131   63.5%
typing              8       262       83   3.0%
flipCard          290       261      152   52.6%
dropDown          341       257      134   57.0%
modal             197       170       68   53.7%
selfCheck          26       137       71   16.0%
tabs               57       112       57   33.7%
reorder             0       104       65   0.0%
radioQuiz           0        89       60   0.0%
selectionBox        0        80       39   0.0%
speechBubble      713        69       45   91.2%
slider              0        52       33   0.0%
hint               49        48       14   50.5%
infoTrigger         0        43       26   0.0%
shapeHover          2        30       18   6.3%
hintSlider         41        18       16   69.5%
glossary            1         2        2   33.3%
TOTAL            3271      4015          44.9%
records -> /mnt/c/Users/Gavin/TeKura/FINAL_MODULE_DATA/CONVERTER_V2/outputs/_r271_variations.json 7286
